PENTA DRAGON - CALL GRAPH
======================================================================

Total CALLs found: 63
Total JPs found: 4

CALL TARGETS:
  0152 → 0067
  0158 → 4000
  015B → 00C8
  015F → 3B77
  0162 → 40F1
  0165 → 0F7A
  016C → 495D
  016F → 495D
  0172 → 495D
  0175 → 495D
  0178 → 0DE9
  017B → 0E7C
  017E → 01E8
  0181 → 55BB
  0184 → 2222
  0187 → 4F5D
  018D → 0F33
  0190 → 40A0
  0190 → 40A0
  01A7 → 40F1
  01A7 → 40F1
  01AA → 41E4
  01AA → 41E4
  01AD → 495D
  01AD → 495D
  01B0 → 495D
  01B3 → 495D
  01B6 → 495D
  01B9 → 0DE9
  01BC → 0E7C
  01BF → 01E8
  01C2 → 55BB
  01C5 → 2222
  01C8 → 41F1
  01D4 → 0F3D
  01D7 → 0A16
  01DF → 174E
  01E2 → 1711
  01E8 → 0A36
  01ED → 12A0
  01F1 → E63C
  01F6 → F0C8
  01F9 → E63C
  01FE → 78C3
  06D9 → 34FF
  06DC → 0824
  06DF → 086C
  085C → 08F8
  085F → 0929
  0A24 → FCE6
  0A29 → 02FA
  0A2C → FCE6
  0A31 → E0AF
  0A36 → 4F5D
  0A39 → 0A1A
  0A3C → 41F1
  0A41 → 28A7
  0A48 → 22EA
  0A4B → 4ECD
  0A56 → 00A8
  5028 → 0099
  503A → 4068
  5052 → 20FE

JP TARGETS:
  018A → 016C
  01D1 → 01AD
  01E5 → 492B
  0A53 → 0B1D
